,Variable,Time,Value
58,Total self-employed,2015,4677000.0
59,Total self-employed,2016,4890000.0
60,Total self-employed,2017,4914000.0
61,Total self-employed,2018,4895750.0
62,Total self-employed,2019,5096000.0
63,Total self-employed,2020,4751238.62441269
64,Total self-employed,2021,3681756.03327514
65,Total self-employed,2022,3583116.6995863
66,Balance of secondary income (balance of payments basis),2012,-20897000000.0
67,Balance of secondary income (balance of payments basis),2013,-25740000000.0
68,Balance of secondary income (balance of payments basis),2014,-23944000000.0
69,Balance of secondary income (balance of payments basis),2015,-23875000000.0
70,Balance of secondary income (balance of payments basis),2016,-23848000000.0
71,Balance of secondary income (balance of payments basis),2017,-22462000000.0
72,Balance of secondary income (balance of payments basis),2018,-25488000000.0
73,Balance of secondary income (balance of payments basis),2019,-27495000000.0
74,Balance of secondary income (balance of payments basis),2020,-33836000000.0
75,Balance of secondary income (balance of payments basis),2021,-36556000000.0
76,Balance of secondary income (balance of payments basis),2022,-36556000000.0
77,"Wage rate, total economy",2012,27182.4713918212
78,"Wage rate, total economy",2013,28112.6574019068
79,"Wage rate, total economy",2014,28740.6754153047
80,"Wage rate, total economy",2015,29107.3841268052
81,"Wage rate, total economy",2016,29866.0509803191
82,"Wage rate, total economy",2017,30596.9863316509
83,"Wage rate, total economy",2018,31476.3918891935
84,"Wage rate, total economy",2019,32398.9856602684
85,"Wage rate, total economy",2020,32942.1974658593
86,"Wage rate, total economy",2021,31954.093122939
87,"Wage rate, total economy",2022,33299.9338018786
88,Balance of primary income (balance of payments basis),2012,-17781000000.0
89,Balance of primary income (balance of payments basis),2013,-36343000000.0
90,Balance of primary income (balance of payments basis),2014,-38011000000.0
91,Balance of primary income (balance of payments basis),2015,-44288000000.0
92,Balance of primary income (balance of payments basis),2016,-48429000000.0
93,Balance of primary income (balance of payments basis),2017,-25612000000.0
94,Balance of primary income (balance of payments basis),2018,-27878000000.0
95,Balance of primary income (balance of payments basis),2019,-37313000000.0
96,Balance of primary income (balance of payments basis),2020,-46457000000.0
97,Balance of primary income (balance of payments basis),2021,-41892000000.0
98,Balance of primary income (balance of payments basis),2022,-41892000000.0
99,"Hours worked per worker, total economy",2012,1659.56085950648
100,"Hours worked per worker, total economy",2013,1670.52268945959
101,"Hours worked per worker, total economy",2014,1677.01654304886
102,"Hours worked per worker, total economy",2015,1674.03861132086
103,"Hours worked per worker, total economy",2016,1672.27581997658
104,"Hours worked per worker, total economy",2017,1673.54571178267
105,"Hours worked per worker, total economy",2018,1667.74964471183
106,"Hours worked per worker, total economy",2019,1672.54862981158
107,"Gross domestic product per capita, volume",2012,29819.1036810298
108,"Gross domestic product per capita, volume",2013,30280.3949708296
109,"Gross domestic product per capita, volume",2014,30910.4911992817
110,"Gross domestic product per capita, volume",2015,31391.6295499923
111,"Gross domestic product per capita, volume",2016,31670.6221057763
112,"Gross domestic product per capita, volume",2017,32030.5269533616
113,"Gross domestic product per capita, volume",2018,32238.4249503281
114,"Gross domestic product per capita, volume",2019,32451.0047431658
115,"Gross domestic product per capita, volume",2020,28634.2079882861
116,"Gross domestic product per capita, volume",2021,29676.9931559667
117,"Gross domestic product per capita, volume",2022,30747.9584575833
118,Total population,2012,63705000.0
119,Total population,2013,64106000.0
120,Total population,2014,64597000.0
121,Total population,2015,65110000.0
122,Total population,2016,65648000.0
123,Total population,2017,66040000.0
124,Total population,2018,66436000.0
125,Total population,2019,66833000.0
126,Total population,2020,67222931.1587374
127,Total population,2021,67585448.2637149
128,Total population,2022,67904120.8547338
