"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2016","2016",4.89337637726861,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2017","2017",4.40234692432138,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2018","2018",4.08051627401554,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2019","2019",3.82796865493304,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2020","2020",4.64005915214366,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2021","2021",7.39681589686833,,
"GBR","United Kingdom","UNR","Unemployment rate","A","Annual","2022","2022",6.2462224362239,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2012","2012",-59868000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2013","2013",-87089000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2014","2014",-90888000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2015","2015",-96435000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2016","2016",-108390000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2017","2017",-77963000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2018","2018",-78853000000,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2019","2019",-95309999999.9999,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2020","2020",-54828453419.9999,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2021","2021",-75855311099.7275,,
"GBR","United Kingdom","CB","Current account balance","A","Annual","2022","2022",-76214100548.1285,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2012","2012",4332750,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2013","2013",4372500,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2014","2014",4673250,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2015","2015",4677000,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2016","2016",4890000,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2017","2017",4914000,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2018","2018",4895750,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2019","2019",5096000,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2020","2020",4751238.62441269,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2021","2021",3681756.03327514,,
"GBR","United Kingdom","ES","Total self-employed","A","Annual","2022","2022",3583116.6995863,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2012","2012",-20897000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2013","2013",-25740000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2014","2014",-23944000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2015","2015",-23875000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2016","2016",-23848000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2017","2017",-22462000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2018","2018",-25488000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2019","2019",-27495000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2020","2020",-33836000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2021","2021",-36556000000,,
"GBR","United Kingdom","NTR","Balance of secondary income (balance of payments basis)","A","Annual","2022","2022",-36556000000,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2012","2012",27182.4713918212,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2013","2013",28112.6574019068,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2014","2014",28740.6754153047,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2015","2015",29107.3841268052,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2016","2016",29866.0509803191,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2017","2017",30596.9863316509,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2018","2018",31476.3918891935,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2019","2019",32398.9856602684,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2020","2020",32942.1974658593,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2021","2021",31954.093122939,,
"GBR","United Kingdom","WRT","Wage rate, total economy","A","Annual","2022","2022",33299.9338018786,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2012","2012",-17781000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2013","2013",-36343000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2014","2014",-38011000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2015","2015",-44288000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2016","2016",-48429000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2017","2017",-25612000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2018","2018",-27878000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2019","2019",-37313000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2020","2020",-46457000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2021","2021",-41892000000,,
"GBR","United Kingdom","BSII","Balance of primary income (balance of payments basis)","A","Annual","2022","2022",-41892000000,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2012","2012",1659.56085950648,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2013","2013",1670.52268945959,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2014","2014",1677.01654304886,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2015","2015",1674.03861132086,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2016","2016",1672.27581997658,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2017","2017",1673.54571178267,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2018","2018",1667.74964471183,,
"GBR","United Kingdom","HRS","Hours worked per worker, total economy","A","Annual","2019","2019",1672.54862981158,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2012","2012",29819.1036810298,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2013","2013",30280.3949708296,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2014","2014",30910.4911992817,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2015","2015",31391.6295499923,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2016","2016",31670.6221057763,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2017","2017",32030.5269533616,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2018","2018",32238.4249503281,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2019","2019",32451.0047431658,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2020","2020",28634.2079882861,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2021","2021",29676.9931559667,,
"GBR","United Kingdom","GDPV_CAP","Gross domestic product per capita, volume","A","Annual","2022","2022",30747.9584575833,,
"GBR","United Kingdom","POP","Total population","A","Annual","2012","2012",63705000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2013","2013",64106000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2014","2014",64597000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2015","2015",65110000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2016","2016",65648000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2017","2017",66040000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2018","2018",66436000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2019","2019",66833000,,
"GBR","United Kingdom","POP","Total population","A","Annual","2020","2020",67222931.1587374,,
"GBR","United Kingdom","POP","Total population","A","Annual","2021","2021",67585448.2637149,,
"GBR","United Kingdom","POP","Total population","A","Annual","2022","2022",67904120.8547338,,
